,open,close,high,low,trade value,turnover,return
636,259.48,256.82,259.48,252.26,161000.0,0.9366,-0.012002769869970065
637,255.65,270.32,271.44,255.65,184000.0,1.0356,0.052565999532746766
638,272.93,279.07,284.31,268.96,211000.0,1.1258,0.03236904409588637
639,279.21,291.89,302.27,279.12,313000.0,1.6085,0.04593829505142066
640,293.24,291.35,295.59,284.31,245000.0,1.2682,-0.0018500119908183565
641,286.7,291.53,296.94,286.7,174000.0,0.8951,0.0006178136262224854
642,291.8,284.89,292.07,279.79,191000.0,1.0003,-0.022776386649744462
643,284.76,286.29,289.68,279.16,182000.0,0.956,0.004914177401804221
644,284.35,286.38,291.07,284.35,79825.0,0.4151,0.0003143665513989369
645,286.16,288.37,290.13,281.6,149000.0,0.7772,0.006948809274390788
646,288.37,290.17,296.31,287.87,106000.0,0.5457,0.0062419807885703005
647,289.68,283.45,293.29,283.4,181000.0,0.9368,-0.02315883792259721
648,279.79,290.67,298.52,274.96,172000.0,0.885,0.025471864526371624
649,292.11,305.74,312.19,292.11,142000.0,0.695,0.05184573571404005
650,305.74,311.38,323.57,305.74,283000.0,1.3368,0.018447046510106535
651,312.56,311.83,320.09,305.97,186000.0,0.8893,0.0014451795234118325
652,310.93,316.26,321.67,310.48,267000.0,1.2609,0.014206458647339826
653,315.89,311.52,315.89,301.91,256000.0,1.2402,-0.014987668374122576
654,309.17,313.82,316.35,309.17,151000.0,0.7229,0.007383153569594292
655,311.38,311.61,315.44,306.87,152000.0,0.73,-0.00704225352112664
656,307.32,326.27,327.18,307.32,189000.0,0.885,0.04704598697089302
657,328.89,324.11,331.6,322.21,84920.0,0.3892,-0.006620283814018912
658,326.18,321.76,326.91,318.87,240000.0,1.1053,-0.007250624787880744
659,324.02,347.66,349.2,321.76,280000.0,1.2447,0.08049477871705624
660,347.48,357.1,360.84,343.11,186000.0,0.7839,0.027152965541045848
661,356.42,389.9,391.08,356.42,296000.0,1.1656,0.0918510221226545
662,389.9,381.28,400.73,378.53,326000.0,1.2582,-0.022108232880225676
663,378.98,380.43,387.65,376.86,212000.0,0.8334,-0.0022293327738144297
664,380.43,374.47,385.84,372.3,256000.0,1.0023,-0.015666482664353443
665,372.3,364.77,377.72,360.93,249000.0,1.0069,-0.025903276630971916
666,365.81,375.51,379.89,365.81,208000.0,0.8254,0.029443210790361052
667,380.02,385.75,389.9,379.98,170000.0,0.6567,0.027269580037815322
668,387.2,385.75,388.1,376.82,248000.0,0.9686,0.0
669,385.8,396.36,415.63,381.6,729000.0,2.7446,0.027504860661049957
670,406.2,387.38,406.96,385.84,395000.0,1.4774,-0.0226561711575336
671,382.64,389.32,391.21,375.91,237000.0,0.9197,0.00500800247818689
672,389.45,382.95,390.81,378.53,417000.0,1.6183,-0.016361861707592684
673,383.09,400.69,406.11,381.78,248000.0,0.9361,0.04632458545502027
674,401.64,401.5,408.36,395.32,250000.0,0.9341,0.00202151289026431
675,401.64,415.13,420.5,399.38,342000.0,1.2398,0.0339476961394769
676,414.72,437.56,438.64,406.15,347000.0,1.2041,0.05403126731385344
677,437.97,449.52,460.3,437.97,306000.0,1.0145,0.02733339427735615
678,448.39,441.03,454.8,434.49,344000.0,1.159,-0.018886812600106828
679,440.4,442.79,464.82,433.32,257000.0,0.8572,0.003990658231866506
680,442.25,474.83,476.05,437.74,315000.0,1.0137,0.07235935770907198
681,474.83,493.47,504.94,474.83,244000.0,0.7362,0.039256154834361956
682,496.86,510.85,523.48,496.41,291000.0,0.8442,0.03521997284536038
683,513.55,475.11,518.07,469.78,450000.0,1.3821,-0.06996182832534015
